match_ID, participant, champ, win, kills, assists, deaths, gold_earned, p_damage_to_champs, m_damage_to_champs, max_multi_kill, max_crit, damage_taken, no_killing_spree, creep_score, jungle_killed, cc_dealt, wards_placed, total_heal
2026610909 , 9 , Blitzcrank , 0 , 2 , 7 , 10 , 7853 , 3329 , 5256 , 1 , 0 , 22643 , 0 , 29 , 0 , 362 , 4 , 1262 , 
2026610909 , 10 , Kayle , 0 , 3 , 4 , 8 , 8692 , 4348 , 6346 , 1 , 0 , 22367 , 0 , 130 , 0 , 82 , 4 , 6483 , 
2026610910 , 1 , Garen , 0 , 5 , 1 , 5 , 9935 , 10861 , 2927 , 1 , 0 , 24002 , 2 , 149 , 0 , 112 , 8 , 1517 , 
2026610910 , 2 , Illaoi , 0 , 0 , 4 , 7 , 6807 , 20054 , 0 , 0 , 0 , 21451 , 0 , 37 , 4 , 89 , 3 , 3071 , 
2026610910 , 3 , Kindred , 0 , 7 , 5 , 3 , 11514 , 16415 , 759 , 1 , 299 , 21678 , 1 , 181 , 3 , 132 , 12 , 11153 , 
2026610910 , 4 , Varus , 0 , 3 , 5 , 7 , 9916 , 13981 , 3189 , 1 , 457 , 15853 , 0 , 154 , 1 , 136 , 11 , 2549 , 
2026610910 , 5 , Udyr , 0 , 4 , 0 , 4 , 12108 , 3601 , 4291 , 1 , 394 , 25366 , 1 , 63 , 115 , 1312 , 5 , 7434 , 
2026610910 , 6 , Yasuo , 1 , 11 , 1 , 6 , 12164 , 13566 , 3837 , 2 , 523 , 15335 , 3 , 147 , 6 , 103 , 9 , 1504 , 
2026610910 , 7 , Volibear , 1 , 6 , 11 , 3 , 9895 , 7236 , 6404 , 2 , 0 , 29059 , 2 , 68 , 4 , 488 , 20 , 3830 , 
2026610910 , 8 , Nunu , 1 , 1 , 9 , 3 , 8954 , 970 , 4633 , 1 , 0 , 19501 , 0 , 40 , 46 , 1004 , 9 , 7785 , 
2026610910 , 9 , Jinx , 1 , 7 , 11 , 5 , 11191 , 17685 , 1799 , 1 , 489 , 16489 , 2 , 176 , 1 , 226 , 2 , 1828 , 
2026610910 , 10 , Nasus , 1 , 1 , 5 , 2 , 9822 , 9877 , 2994 , 1 , 0 , 23565 , 0 , 173 , 8 , 2165 , 9 , 285 , 
2026610911 , 1 , Diana , 0 , 8 , 9 , 5 , 12396 , 1660 , 13500 , 1 , 0 , 30974 , 1 , 33 , 87 , 600 , 13 , 6002 , 
2026610911 , 2 , Fizz , 0 , 4 , 7 , 5 , 10645 , 4531 , 13186 , 2 , 0 , 20886 , 1 , 144 , 2 , 154 , 17 , 1746 , 
2026610911 , 3 , Darius , 0 , 6 , 5 , 6 , 10906 , 18072 , 300 , 1 , 557 , 32108 , 2 , 141 , 1 , 160 , 13 , 3968 , 
2026610911 , 4 , Ashe , 0 , 8 , 10 , 4 , 14057 , 26093 , 4751 , 2 , 602 , 21045 , 1 , 218 , 21 , 2003 , 17 , 4736 , 
2026610911 , 5 , Malphite , 0 , 1 , 13 , 4 , 9994 , 4068 , 14635 , 1 , 0 , 22996 , 0 , 86 , 0 , 838 , 24 , 5070 , 
2026610911 , 6 , Caitlyn , 1 , 5 , 9 , 7 , 13782 , 16583 , 1711 , 2 , 1655 , 18152 , 1 , 194 , 5 , 61 , 6 , 2924 , 
2026610911 , 7 , Ekko , 1 , 6 , 9 , 2 , 13962 , 1445 , 12425 , 1 , 0 , 26898 , 2 , 35 , 107 , 962 , 7 , 9321 , 
2026610911 , 8 , Chogath , 1 , 6 , 12 , 2 , 13710 , 1391 , 23570 , 1 , 0 , 31361 , 2 , 199 , 5 , 544 , 18 , 9082 , 
2026610911 , 9 , Volibear , 1 , 6 , 9 , 9 , 13300 , 9530 , 11021 , 1 , 0 , 55648 , 2 , 146 , 6 , 1042 , 11 , 1765 , 
2026610911 , 10 , Morgana , 1 , 1 , 16 , 7 , 11424 , 967 , 9637 , 1 , 156 , 19150 , 0 , 28 , 0 , 194 , 29 , 231 , 
2026610916 , 1 , Volibear , 0 , 4 , 12 , 10 , 11325 , 6487 , 7669 , 1 , 0 , 46753 , 0 , 34 , 55 , 1041 , 9 , 4865 , 
2026610916 , 2 , Blitzcrank , 0 , 1 , 18 , 8 , 10008 , 2927 , 7728 , 1 , 0 , 28881 , 0 , 31 , 0 , 94 , 19 , 1297 , 
2026610916 , 3 , Varus , 0 , 16 , 4 , 8 , 15888 , 20679 , 7663 , 3 , 773 , 20431 , 4 , 213 , 10 , 436 , 12 , 3240 , 
2026610916 , 4 , Malzahar , 0 , 4 , 8 , 10 , 12348 , 3198 , 12410 , 1 , 0 , 24159 , 1 , 156 , 44 , 75 , 6 , 1938 , 
2026610916 , 5 , Jax , 0 , 8 , 2 , 12 , 12477 , 10525 , 4271 , 1 , 396 , 32527 , 2 , 145 , 9 , 69 , 8 , 829 , 
2026610916 , 6 , Nidalee , 1 , 18 , 18 , 6 , 18102 , 1992 , 31695 , 2 , 1364 , 29734 , 3 , 78 , 71 , 487 , 15 , 12660 , 
2026610916 , 7 , KogMaw , 1 , 8 , 12 , 6 , 13877 , 17564 , 6479 , 1 , 716 , 17412 , 2 , 133 , 1 , 297 , 1 , 3952 , 
2026610916 , 8 , Kassadin , 1 , 6 , 13 , 7 , 14843 , 2530 , 16944 , 1 , 0 , 27382 , 3 , 176 , 13 , 286 , 12 , 1357 , 
2026610916 , 9 , Pantheon , 1 , 11 , 8 , 9 , 14222 , 26235 , 2818 , 1 , 839 , 25825 , 4 , 134 , 4 , 149 , 13 , 1166 , 
2026610916 , 10 , Alistar , 1 , 5 , 28 , 5 , 14259 , 1455 , 8993 , 1 , 0 , 25432 , 2 , 28 , 0 , 1222 , 30 , 13081 , 
2026610917 , 1 , Fiora , 0 , 2 , 0 , 7 , 9313 , 4519 , 1384 , 1 , 553 , 21137 , 0 , 164 , 10 , 71 , 7 , 2258 , 
2026610917 , 2 , Amumu , 0 , 5 , 10 , 4 , 9794 , 909 , 10729 , 1 , 0 , 22626 , 1 , 27 , 66 , 369 , 8 , 4238 , 
2026610917 , 3 , Nami , 0 , 3 , 10 , 5 , 8514 , 1811 , 6750 , 1 , 0 , 14431 , 1 , 7 , 0 , 229 , 16 , 7642 , 
2026610917 , 4 , Lucian , 0 , 5 , 3 , 3 , 11513 , 14969 , 1008 , 2 , 611 , 13107 , 2 , 238 , 0 , 13 , 12 , 2427 , 
2026610917 , 5 , Fizz , 0 , 6 , 4 , 7 , 8877 , 2775 , 8431 , 1 , 0 , 18594 , 1 , 107 , 0 , 204 , 10 , 880 , 
2026610917 , 6 , Thresh , 1 , 2 , 11 , 3 , 8527 , 1424 , 4008 , 1 , 0 , 15174 , 0 , 31 , 0 , 138 , 16 , 1649 , 
2026610917 , 7 , Zed , 1 , 3 , 10 , 7 , 10234 , 12802 , 1222 , 1 , 0 , 15602 , 0 , 135 , 3 , 51 , 7 , 1023 , 
2026610917 , 8 , MissFortune , 1 , 0 , 10 , 3 , 10705 , 8592 , 1944 , 0 , 563 , 10300 , 0 , 193 , 6 , 57 , 11 , 2002 , 
2026610917 , 9 , MasterYi , 1 , 10 , 4 , 6 , 14082 , 10106 , 2093 , 2 , 550 , 25782 , 2 , 85 , 88 , 1099 , 7 , 7456 , 
2026610917 , 10 , Ryze , 1 , 11 , 4 , 2 , 13211 , 861 , 18007 , 2 , 0 , 14566 , 2 , 193 , 5 , 86 , 15 , 1216 , 
2026610922 , 1 , Nocturne , 0 , 3 , 5 , 8 , 7462 , 6703 , 991 , 1 , 329 , 22544 , 0 , 14 , 58 , 443 , 6 , 5905 , 
2026610922 , 2 , Viktor , 0 , 4 , 0 , 6 , 7718 , 551 , 10413 , 1 , 0 , 12469 , 1 , 132 , 1 , 66 , 9 , 482 , 
2026610922 , 3 , Alistar , 0 , 2 , 0 , 2 , 5742 , 652 , 1674 , 1 , 0 , 14843 , 1 , 29 , 0 , 300 , 5 , 5373 , 
